[2026-03-13 08:51:49.650] Done SBO F1 run 21/30: best=100, used_FEs=300000/300000, t=1.4543s, mode=exact_fes_parameter, status=completed
[2026-03-13 08:51:51.225] Done SBO F1 run 22/30: best=100, used_FEs=300000/300000, t=1.4888s, mode=exact_fes_parameter, status=completed
[2026-03-13 08:51:52.670] Done SBO F1 run 23/30: best=100, used_FEs=300000/300000, t=1.3742s, mode=exact_fes_parameter, status=completed
[2026-03-13 08:51:54.243] Done SBO F1 run 24/30: best=100, used_FEs=300000/300000, t=1.5230s, mode=exact_fes_parameter, status=completed
[2026-03-13 08:51:55.719] Done SBO F1 run 25/30: best=100, used_FEs=300000/300000, t=1.4249s, mode=exact_fes_parameter, status=completed
[2026-03-13 08:51:57.312] Done SBO F1 run 26/30: best=100, used_FEs=300000/300000, t=1.5052s, mode=exact_fes_parameter, status=completed
[2026-03-13 08:51:58.776] Done SBO F1 run 27/30: best=100, used_FEs=300000/300000, t=1.3885s, mode=exact_fes_parameter, status=completed
[2026-03-13 08:52:00.338] Done SBO F1 run 28/30: best=100, used_FEs=300000/300000, t=1.5076s, mode=exact_fes_parameter, status=completed
[2026-03-13 08:52:01.752] Done SBO F1 run 29/30: best=100, used_FEs=300000/300000, t=1.3636s, mode=exact_fes_parameter, status=completed
[2026-03-13 08:52:03.213] Done SBO F1 run 30/30: best=100, used_FEs=300000/300000, t=1.3595s, mode=exact_fes_parameter, status=completed
[2026-03-13 08:52:03.469] Running HGS on F1 ...
[2026-03-13 08:52:05.488] Done HGS F1 run 1/30: best=12737.9110354, used_FEs=299970/300000, t=1.9539s, mode=exact_derived_iteration_from_maxFEs, status=completed
[2026-03-13 08:52:07.518] Done HGS F1 run 2/30: best=5631.83641186, used_FEs=299970/300000, t=1.9365s, mode=exact_derived_iteration_from_maxFEs, status=completed
[2026-03-13 08:52:09.549] Done HGS F1 run 3/30: best=2765.12344368, used_FEs=299970/300000, t=1.9420s, mode=exact_derived_iteration_from_maxFEs, status=completed
[2026-03-13 08:52:11.669] Done HGS F1 run 4/30: best=12736.9574918, used_FEs=299970/300000, t=2.0477s, mode=exact_derived_iteration_from_maxFEs, status=completed
[2026-03-13 08:52:13.669] Done HGS F1 run 5/30: best=12735.2052475, used_FEs=299970/300000, t=1.9259s, mode=exact_derived_iteration_from_maxFEs, status=completed
[2026-03-13 08:52:15.833] Done HGS F1 run 6/30: best=5631.88649803, used_FEs=299970/300000, t=2.0872s, mode=exact_derived_iteration_from_maxFEs, status=completed
[2026-03-13 08:52:17.833] Done HGS F1 run 7/30: best=12737.7935574, used_FEs=299970/300000, t=1.9240s, mode=exact_derived_iteration_from_maxFEs, status=completed
[2026-03-13 08:52:19.947] Done HGS F1 run 8/30: best=12524.8137227, used_FEs=299970/300000, t=2.0415s, mode=exact_derived_iteration_from_maxFEs, status=completed
[2026-03-13 08:52:22.064] Done HGS F1 run 9/30: best=3501.52194427, used_FEs=299970/300000, t=2.0443s, mode=exact_derived_iteration_from_maxFEs, status=completed
[2026-03-13 08:52:24.113] Done HGS F1 run 10/30: best=679.835683394, used_FEs=299970/300000, t=1.9650s, mode=exact_derived_iteration_from_maxFEs, status=completed
[2026-03-13 08:52:26.165] Done HGS F1 run 11/30: best=5631.76208628, used_FEs=299970/300000, t=1.9619s, mode=exact_derived_iteration_from_maxFEs, status=completed
[2026-03-13 08:52:28.179] Done HGS F1 run 12/30: best=169.943013413, used_FEs=299970/300000, t=1.9434s, mode=exact_derived_iteration_from_maxFEs, status=completed
[2026-03-13 08:52:30.125] Done HGS F1 run 13/30: best=5631.88894776, used_FEs=299970/300000, t=1.8878s, mode=exact_derived_iteration_from_maxFEs, status=completed
[2026-03-13 08:52:32.187] Done HGS F1 run 14/30: best=5631.71354048, used_FEs=299970/300000, t=1.9998s, mode=exact_derived_iteration_from_maxFEs, status=completed
[2026-03-13 08:52:34.478] Done HGS F1 run 15/30: best=12688.8223895, used_FEs=299970/300000, t=2.2121s, mode=exact_derived_iteration_from_maxFEs, status=completed
[2026-03-13 08:52:36.455] Done HGS F1 run 16/30: best=4025.17017763, used_FEs=299970/300000, t=1.9170s, mode=exact_derived_iteration_from_maxFEs, status=completed
[2026-03-13 08:52:38.537] Done HGS F1 run 17/30: best=5631.82011089, used_FEs=299970/300000, t=1.9963s, mode=exact_derived_iteration_from_maxFEs, status=completed
[2026-03-13 08:52:40.774] Done HGS F1 run 18/30: best=12737.0342442, used_FEs=299970/300000, t=2.1303s, mode=exact_derived_iteration_from_maxFEs, status=completed
[2026-03-13 08:52:42.745] Done HGS F1 run 19/30: best=12737.7370268, used_FEs=299970/300000, t=1.8746s, mode=exact_derived_iteration_from_maxFEs, status=completed
[2026-03-13 08:52:45.098] Done HGS F1 run 20/30: best=5631.85658642, used_FEs=299970/300000, t=2.2798s, mode=exact_derived_iteration_from_maxFEs, status=completed
[2026-03-13 08:52:47.293] Done HGS F1 run 21/30: best=5631.80668712, used_FEs=299970/300000, t=2.1212s, mode=exact_derived_iteration_from_maxFEs, status=completed
[2026-03-13 08:52:49.557] Done HGS F1 run 22/30: best=12738.0545119, used_FEs=299970/300000, t=2.2027s, mode=exact_derived_iteration_from_maxFEs, status=completed
[2026-03-13 08:52:51.638] Done HGS F1 run 23/30: best=5631.79736197, used_FEs=299970/300000, t=1.9775s, mode=exact_derived_iteration_from_maxFEs, status=completed
[2026-03-13 08:52:53.796] Done HGS F1 run 24/30: best=5631.78595977, used_FEs=299970/300000, t=2.0888s, mode=exact_derived_iteration_from_maxFEs, status=completed
[2026-03-13 08:52:55.879] Done HGS F1 run 25/30: best=10555.4560091, used_FEs=299970/300000, t=1.9832s, mode=exact_derived_iteration_from_maxFEs, status=completed
[2026-03-13 08:52:58.074] Done HGS F1 run 26/30: best=12735.4584004, used_FEs=299970/300000, t=2.1279s, mode=exact_derived_iteration_from_maxFEs, status=completed
[2026-03-13 08:53:00.255] Done HGS F1 run 27/30: best=5631.85810634, used_FEs=299970/300000, t=2.1105s, mode=exact_derived_iteration_from_maxFEs, status=completed
[2026-03-13 08:53:02.330] Done HGS F1 run 28/30: best=12738.3759437, used_FEs=299970/300000, t=1.9903s, mode=exact_derived_iteration_from_maxFEs, status=completed
[2026-03-13 08:53:04.435] Done HGS F1 run 29/30: best=5631.72710616, used_FEs=299970/300000, t=2.0381s, mode=exact_derived_iteration_from_maxFEs, status=completed
[2026-03-13 08:53:06.470] Done HGS F1 run 30/30: best=1878.22944407, used_FEs=299970/300000, t=1.9546s, mode=exact_derived_iteration_from_maxFEs, status=completed
[2026-03-13 08:53:06.769] Running SMA on F1 ...
[2026-03-13 08:53:09.660] Done SMA F1 run 1/30: best=9780.66182878, used_FEs=299970/300000, t=2.8255s, mode=exact_derived_iteration_from_maxFEs, status=completed
[2026-03-13 08:53:12.530] Done SMA F1 run 2/30: best=11123.7584021, used_FEs=299970/300000, t=2.8129s, mode=exact_derived_iteration_from_maxFEs, status=completed
[2026-03-13 08:53:15.605] Done SMA F1 run 3/30: best=8072.11504617, used_FEs=299970/300000, t=3.0096s, mode=exact_derived_iteration_from_maxFEs, status=completed
[2026-03-13 08:53:18.760] Done SMA F1 run 4/30: best=12738.3703755, used_FEs=299970/300000, t=3.0808s, mode=exact_derived_iteration_from_maxFEs, status=completed
[2026-03-13 08:53:21.754] Done SMA F1 run 5/30: best=116.917419763, used_FEs=299970/300000, t=2.9215s, mode=exact_derived_iteration_from_maxFEs, status=completed
[2026-03-13 08:53:24.689] Done SMA F1 run 6/30: best=12603.1598172, used_FEs=299970/300000, t=2.8604s, mode=exact_derived_iteration_from_maxFEs, status=completed
[2026-03-13 08:53:27.615] Done SMA F1 run 7/30: best=11641.9269279, used_FEs=299970/300000, t=2.8591s, mode=exact_derived_iteration_from_maxFEs, status=completed
[2026-03-13 08:53:30.500] Done SMA F1 run 8/30: best=12738.8960616, used_FEs=299970/300000, t=2.8175s, mode=exact_derived_iteration_from_maxFEs, status=completed
[2026-03-13 08:53:33.437] Done SMA F1 run 9/30: best=5631.60756661, used_FEs=299970/300000, t=2.8414s, mode=exact_derived_iteration_from_maxFEs, status=completed
[2026-03-13 08:53:36.279] Done SMA F1 run 10/30: best=12106.65399, used_FEs=299970/300000, t=2.7680s, mode=exact_derived_iteration_from_maxFEs, status=completed
[2026-03-13 08:53:39.239] Done SMA F1 run 11/30: best=11643.499507, used_FEs=299970/300000, t=2.9042s, mode=exact_derived_iteration_from_maxFEs, status=completed
[2026-03-13 08:53:42.343] Done SMA F1 run 12/30: best=10843.7517885, used_FEs=299970/300000, t=3.0348s, mode=exact_derived_iteration_from_maxFEs, status=completed
[2026-03-13 08:53:45.282] Done SMA F1 run 13/30: best=10919.4378555, used_FEs=299970/300000, t=2.8727s, mode=exact_derived_iteration_from_maxFEs, status=completed
[2026-03-13 08:53:48.089] Done SMA F1 run 14/30: best=6516.71091085, used_FEs=299970/300000, t=2.7480s, mode=exact_derived_iteration_from_maxFEs, status=completed
[2026-03-13 08:53:50.967] Done SMA F1 run 15/30: best=338.86454515, used_FEs=299970/300000, t=2.8209s, mode=exact_derived_iteration_from_maxFEs, status=completed
[2026-03-13 08:53:53.814] Done SMA F1 run 16/30: best=7920.63319146, used_FEs=299970/300000, t=2.7510s, mode=exact_derived_iteration_from_maxFEs, status=completed
[2026-03-13 08:53:56.582] Done SMA F1 run 17/30: best=3680.11138514, used_FEs=299970/300000, t=2.6930s, mode=exact_derived_iteration_from_maxFEs, status=completed
[2026-03-13 08:53:59.436] Done SMA F1 run 18/30: best=12737.7847144, used_FEs=299970/300000, t=2.7871s, mode=exact_derived_iteration_from_maxFEs, status=completed
[2026-03-13 08:54:02.412] Done SMA F1 run 19/30: best=12736.9484406, used_FEs=299970/300000, t=2.8967s, mode=exact_derived_iteration_from_maxFEs, status=completed
[2026-03-13 08:54:05.412] Done SMA F1 run 20/30: best=8106.93357282, used_FEs=299970/300000, t=2.9266s, mode=exact_derived_iteration_from_maxFEs, status=completed
[2026-03-13 08:54:08.564] Done SMA F1 run 21/30: best=12343.3026234, used_FEs=299970/300000, t=3.0884s, mode=exact_derived_iteration_from_maxFEs, status=completed
[2026-03-13 08:54:11.811] Done SMA F1 run 22/30: best=12725.0126128, used_FEs=299970/300000, t=3.1841s, mode=exact_derived_iteration_from_maxFEs, status=completed
[2026-03-13 08:54:14.829] Done SMA F1 run 23/30: best=8072.15084729, used_FEs=299970/300000, t=2.9479s, mode=exact_derived_iteration_from_maxFEs, status=completed
[2026-03-13 08:54:17.885] Done SMA F1 run 24/30: best=2770.87781477, used_FEs=299970/300000, t=2.9842s, mode=exact_derived_iteration_from_maxFEs, status=completed
[2026-03-13 08:54:20.989] Done SMA F1 run 25/30: best=292.873308911, used_FEs=299970/300000, t=3.0359s, mode=exact_derived_iteration_from_maxFEs, status=completed
[2026-03-13 08:54:24.267] Done SMA F1 run 26/30: best=7981.87615268, used_FEs=299970/300000, t=3.2114s, mode=exact_derived_iteration_from_maxFEs, status=completed
[2026-03-13 08:54:27.418] Done SMA F1 run 27/30: best=9060.18214725, used_FEs=299970/300000, t=3.0733s, mode=exact_derived_iteration_from_maxFEs, status=completed
[2026-03-13 08:54:30.597] Done SMA F1 run 28/30: best=8279.74461858, used_FEs=299970/300000, t=3.0998s, mode=exact_derived_iteration_from_maxFEs, status=completed
[2026-03-13 08:54:33.632] Done SMA F1 run 29/30: best=11507.3706908, used_FEs=299970/300000, t=2.9314s, mode=exact_derived_iteration_from_maxFEs, status=completed
[2026-03-13 08:54:36.724] Done SMA F1 run 30/30: best=10724.8575755, used_FEs=299970/300000, t=3.0217s, mode=exact_derived_iteration_from_maxFEs, status=completed
[2026-03-13 08:54:37.002] Running HHO on F1 ...
[2026-03-13 08:54:39.049] Done HHO F1 run 1/30: best=2705854.61323, used_FEs=300000/300000, t=1.6050s, mode=exact_derived_iteration_from_maxFEs_with_hard_stop, status=stopped_at_budget
[2026-03-13 08:54:41.086] Done HHO F1 run 2/30: best=1427530.86387, used_FEs=300000/300000, t=1.5637s, mode=exact_derived_iteration_from_maxFEs_with_hard_stop, status=stopped_at_budget
[2026-03-13 08:54:43.114] Done HHO F1 run 3/30: best=797224.717547, used_FEs=300000/300000, t=1.5640s, mode=exact_derived_iteration_from_maxFEs_with_hard_stop, status=stopped_at_budget
[2026-03-13 08:54:45.311] Done HHO F1 run 4/30: best=2383437.80548, used_FEs=300000/300000, t=1.6645s, mode=exact_derived_iteration_from_maxFEs_with_hard_stop, status=stopped_at_budget
[2026-03-13 08:54:47.320] Done HHO F1 run 5/30: best=1689405.32638, used_FEs=300000/300000, t=1.5458s, mode=exact_derived_iteration_from_maxFEs_with_hard_stop, status=stopped_at_budget
